Protein IDs	Only identified by site
Q03526;P97504	
Q03958	
Q03963	
Q04207	
Q04447	
Q04690	+
Q04692	
Q04750;Q8R4U6	
Q04841	
Q04857	
Q05117	
Q05144	
Q05186	
Q05512;Q03141;Q8VHJ5;Q8CIP4	
Q05816	
Q05BC3	
Q05CL8	
Q05D44	
Q06138	
Q06180	
Q06185	
Q07076	
Q07113	
Q07231;P08043	
Q07417	
Q07797	
Q07813	
Q08024	
Q08093	
Q08122;Q62440;Q62441	
Q08189	
Q08288	
Q08376	
Q08481	
Q08642	
Q08943	
Q09200	
Q09XV5;A2AJK6;Q8BYH8	
Q0GNC1	
Q0KK56	+
Q0P678	
Q0VEE6	
Q0VG62	
Q0VGB7	
Q11011	
Q11136	
Q149C2	
Q149F1	
Q149F5	
Q14AW5	
Q14AX6	
Q14C51	
Q18PI6	
Q1HFZ0	
Q2EMV9	
Q2NL51;REV__Q8BTI9	
Q2TBA3	
Q2TPA8	
Q2VPQ9	
Q31125	
Q32M21	
Q3B7Z2	
Q3KNM2	
Q3SXD3	
Q3TAA7	
Q3TBD2;Q8VEM1	
Q3TBT3	
Q3TBW2	
Q3TC33	
Q3TC46	
Q3TC72	
Q3TCH7	
Q3TCJ1	
Q3TCN2	
Q3TCX3	
Q3TDD9	
Q3TDN2	
Q3TDQ1	
Q3TEA8	
Q3TFD2	
Q3TGF2	
Q3THE2;Q9CQ19	
Q3THG9	
Q3THJ3	
Q3THK3	
Q3THK7	
Q3THS6	
Q3TIR3;Q80XE1	
Q3TIU4	
Q3TIV5	
Q3TIX9	
Q3TKT4	
Q3TKY6	
Q3TLH4	
Q3TLI0	
Q3TLS3	
Q3TNH5	
Q3TNL8	
Q3TPE9	
Q3TPX4	
Q3TQI7	
Q3TSG4;A2ATU0	
Q3TTA7	
Q3TUH1	
Q3TVP5	
Q3TW96	
Q3TWF6	
Q3TWW8	
Q3TXS7	
Q3TYA6	
Q3TYS2	
Q3TYX3	
Q3TZX8	
Q3TZZ7	
Q3U0K8	
Q3U0V1	
Q3U0V2	
Q3U186	
Q3U1F9	
Q3U1G5	
Q3U1J4	
Q3U1T3	
Q3U1U7	
Q3U1Y4	
Q3U1Z5	
Q3U276	
Q3U2A8	
Q3U2P1	
Q3U2S8	
Q3U2V3	
Q3U308	
Q3U319	
Q3U3I9	
Q3U3R4	
Q3U487	
Q3U5F4	
Q3U5Q7	
Q3U7R1	
Q3U7U3	
Q3U898	
Q3U9G9	
Q3UA37	
Q3UB74	
Q3UCV8	
Q3UDE2	
Q3UDW8	
Q3UE37	
Q3UEB3	
Q3UFK8	
Q3UFM5	
Q3UFS0	
Q3UFY7	
Q3UFY8	
Q3UGC7;Q66JS6	
Q3UGP8	
Q3UGR5	
Q3UGS4	
Q3UHD6	
Q3UHD9	
Q3UHJ0;Q91Z96	
Q3UHQ6	
Q3UHX0	
Q3UHX2	
Q3UHX9	
Q3UI43	
Q3UIA2	
Q3UIR3	
Q3UIU2	
Q3UJB9	
Q3UJD6	
Q3UJU9	
Q3UKC1	
Q3UKJ7	
Q3UL36	
Q3ULD5	
Q3ULF4	
Q3ULJ0;P13707	
Q3UM18	
Q3UM45	
Q3UMB9	
Q3UMC0	
Q3UMR5	
Q3UMU9	
Q3UMW7;Q922R0	
Q3UMY5	
Q3UN02	
Q3UN04	
Q3UPF5	
Q3UPH1	
Q3UPL0	
Q3UQ44	
Q3UQ84	
Q3UQA7	
Q3UQU0	
Q3URQ0	
Q3URS9	
Q3USH5	
Q3UUQ7	
Q3UUV5	
Q3UV17	
Q3UV70	
Q3UVK0	
Q3UW53	
Q3UXZ9;P41230	
Q3UY34	
Q3UYC0;Q8BU27	
Q3UYH7	+
Q3UYV9	
Q3UZ39;Q91WK0	
Q3UZA1	
Q3V0C5	
Q3V1L4	
Q3V1V3	
Q3V3E1	
Q3V3Q4	
Q3V3R1	
Q3V3V9	
Q497V5	
Q4FK66	
Q4FZC9	
Q4FZF3	
Q4KML4	
Q4KMM3	
Q4LDD4	
Q4PJX1	
Q4QQM4	
Q4QRL3	
Q4VA53;REV__Q61733	
Q4VAA2	
Q4VBE8	
Q4VC33	
Q4ZJN1	+
Q501J6	
Q505B7	
Q505D7	
Q505F5	
Q52KI8	
Q569L8	
Q569Z5	
Q569Z6	
Q56A08	
Q571E4	
Q571H0	
Q571I9	
Q58A65;Q9ESN9	
Q5BLK4	
Q5DTM8;Q80V31	
Q5DTN8	
Q5DU09	
Q5DU31	
Q5EBG8	
Q5EBH1	
Q5EG47;Q8BRK8	
Q5F2E7	
Q5FWK3	
Q5H8C4	
Q5HZI9	
Q5M8N4	
Q5NBU8	
Q5NCF2	
Q5NCQ5	
Q5NCR9	
Q5ND34	
Q5PSV9	
Q5RJG1	
Q5RL79	
Q9CPN8;Q5SF07	
Q5SFM8	
Q5SQF8	
Q5SQX6	
Q5SSH7	
Q5SSI6	
Q5SSL4	
Q5SU73	
Q5SUA5;Q5SYD0	
Q5SUF2	
Q5SUQ9	
Q5SUR0	
Q5SV85	
Q5SVD0	
Q5SVQ0;Q8BRB7	
Q5SVR0	
Q5SWD9	
Q5SWT3	
Q5SWU9	
Q5SX39;P13542;Q02566	
Q5SX40	+
Q5U458	
Q5U4D9	
Q5U5Q9	
Q5UAK0	
Q5XG71	
Q5XJE5	
Q5XJY5	
Q5XKN4	
Q5Y5T1	
Q60520;REV__P70121	
Q60591	
Q60596	
Q60597	
Q60605;P09542;Q8CI43	
Q60610	
Q60611;Q8VI24	
Q60631	
Q60634	
Q60648	
Q60664	
Q60668	
Q60676	
Q60692	
Q60710	
Q60715	
Q60737	
Q60739	
Q60749;Q9WU01;Q9R226	
Q60759	
Q60766	
Q60767	
Q60770	
Q60775	
Q60778	
Q60787	
Q60790	
Q60809	
Q60823;Q9WUA6	
Q60847	
Q60848	
Q60854	
Q60855	
Q60862	
Q60864	
Q60865	
Q60870	
Q60875	
Q60902	
Q8CFN5;Q60929;Q63943	
Q60930	
Q60931	
Q60932	
Q60936	
Q60949	
Q60952	
Q60953	
Q60960	
Q60967	
Q60972	
Q60973	
Q60974;Q9WU42	
Q60992	
Q60996	
Q60I26	
Q61003	
Q61026	
Q61029	
Q61033	
Q61035	
Q61043	
Q61048	
Q61074	
Q61081	
Q61083	
Q61084	
Q61102	
Q61103	
Q61107	
Q61127;Q61122	
Q61133	
Q61136	
Q61142	
Q61151	
Q61152	
Q61160	
Q61161	
Q61164	
Q61166	
Q61171	
Q61176	
Q61179	
Q61183;Q9WVP6;Q6PCL9	
Q61187	
Q61189	
Q61191	
Q61205	
Q61206	
Q61207	
Q61210	
Q61211	
Q61214	
Q61216	
Q61233	
Q61239	
Q61249;Q9QZ29	
Q61263	
Q61316	
Q61334	
Q61335	
Q61387	
Q61411	
Q61419	
Q61425	
Q61458	
Q61462	
Q61464	
Q61466	
Q61475;Q61476	
Q61493	+
Q61503	
Q61510	
